No,page,title,class,headings,texts
0,top,ブルアカ育成マスター,,これは何ですか？,Yostar社が送るスマホゲーム「ブルーアーカイブ（ブルアカ）」の、キャラクター（生徒）育成支援ツールです。<br>育成に必要となる素材の必要数を、複数の生徒分、一括で計算することができます。
1,top,ブルアカ育成マスター,,使い方,① 以下の「生徒一覧」から育成をしたい生徒を選び、「次へ」を押してください。<br>② 選んだ生徒の現在のレベルと、育成目標のレベルをそれぞれ入力してください。<br>③ 入力が終わったら「計算する」ボタンを押してください。<br>④ 育成したい生徒と、育成に必要となる素材の種類と数が表示されます。
2,input,育成状況の入力,,説明,生徒の育成度合いについて、現時点の数値と育成目標を入力してください。<br>入力が終わったら「計算する」を押してください。<br>【注意】入力中にブラウザを更新しないでください。入力中の数値がリセットされてしまいます。
3,howto,本ツールの使い方,,使い方,育てたい生徒を選択し、生徒のレベルや装備、各種スキルについて、現在の値と、育成目標となる値を入力すると、素材の必要数が一括で計算・表示されます。<br><br>本アプリで入力した数値は、お使いのブラウザのセッションIDに紐づけて保存されます。<br><br>育成が進んだときなど、再度計算をやり直したい時に、以前の値を引き継いで使用することが可能です。
4,howto,本ツールの使い方,,計算される数値について,本ツールで使用する生徒パラメータについては、可能な限りゲーム内で実際に確認して正確な数値を把握するように務めておりますが、強化に必要となるオーパーツの数が生徒ごとに異なっており、一部の生徒について必要数が把握し切れておりません。<br><br>必要数が未判明の生徒は、既に判明している生徒たちの必要数の平均値で計算する仕様とさせて頂いております。<br><br>このため、一部の生徒でオーパーツ数に誤差が生じる場合がございますが、あらかじめご了承ください。
5,about,本ツールについて,,概要,Yostar社が送るスマホゲーム「ブルーアーカイブ（ブルアカ）」の、非公式キャラクター育成支援ツールです。<br>ブルアカは育成素材の種別が多く管理も大変なため、なんとか快適にできないか？と思い開発に至りました。<br>皆様の日々のプレイの助けになれば幸いです。
6,about,本ツールについて,,リンクについて,当サイトはリンクフリー（掲載許可や連絡は不要）です。<br>SNSや動画投稿サイト等にて是非ご友人方へご紹介下さい。<br><br>なお、画像等コンテンツへの直リンク行為はご遠慮願います。
7,about,本ツールについて,,免責事項,当サイトで表示する一切の情報について、可能な限り正確な情報の掲載に努めておりますが、正確性を保証するものではございません。<br><br>また、当サイトの利用に伴いユーザーに生じた損害については、一切の責任を負いかねます。あらかじめご了承ください。
8,about,本ツールについて,,著作権について,"当サイトは権利者様の権利侵害を目的としたものではございません。<br>また、当サイトでは、著作権法第32条（研究その他の引用の目的）に基づき画像の引用を行っております。<br><br>著作権に関して問題がございましたら、権利者様から<a href=""https://forms.gle/HeBsiPisRznURhnj8"">お問い合わせ</a>下さい。速やかに対致します。"
9,about,本ツールについて,,お問い合わせ,"当サイトに関するお問い合わせは<a href=""https://forms.gle/HeBsiPisRznURhnj8"">お問い合わせフォーム</a>、または<a href=""https://twitter.com/messages/compose?recipient_id=1438494596707729416"">TwitterのDM</a>にて受け付けております。"
10,privacypolicy,プライバシーポリシー,,個人情報のお取り扱いについて,当サイトでは、お問い合わせの際に、メールアドレスのご入力を行っていただく場合がございます。お送り頂いたメールアドレスは、お問い合わせに対する回答および必要な情報を電子メールでお送りする目的でのみ利用させて頂きます。これ以外の目的で利用することはございません。
11,privacypolicy,プライバシーポリシー,,広告について,"当サイトでは、第三者配信事業者（Google Adsense）の広告サービスを利用しており、ご利用のユーザーに合わせて最適な広告を表示する目的でCookieを使用致します。<br>Googleが広告Cookieを使用することにより、ユーザーが当サイトや他のサイトにアクセスした際の情報に基づき、Googleおよびそのパートナーが適切な広告をユーザーに表示できることが可能となります。<br>ユーザーは、<a href=""https://www.google.com/settings/ads"">広告設定</a>でパーソナライズ広告を無効にできるほか、<a href=""https://www.aboutads.info/"">www.aboutads.info</a>へアクセスすることにより、パーソナライズ広告に使われる第三者配信事業者のCookieを無効にすることができます。"
12,privacypolicy,プライバシーポリシー,,アクセス解析ツールについて,"当サイトでは、Googleによるアクセス解析ツール「Googleアナリティクス」を利用しております。このGoogleアナリティクスはトラフィックデータの収集のためにクッキー（Cookie）を使用します。トラフィックデータは匿名で収集されており、個人を特定するものではありません。<br>Cookieを無効にする方法は「<a href=""https://policies.google.com/technologies/ads?gl=jp"">広告 – ポリシーと規約 – Google</a>」をご確認ください。"
13,privacypolicy,プライバシーポリシー,,お問い合わせ,"当サイトに関するお問い合わせは<a href=""https://forms.gle/HeBsiPisRznURhnj8"">お問い合わせフォーム</a>、または<a href=""https://twitter.com/messages/compose?recipient_id=1438494596707729416"">TwitterのDM</a>にて受け付けております。"
14,saveConfirm,入力データの保存,,確認メッセージ,以下データを保存しますがよろしいですか？<br>※空欄は未入力の部分です
15,saved,保存完了,,確認メッセージ,データが正常に保存されました。<br>保存したデータの読み込みを行うときは、以下の認証キーを使用してください。<br>この後、データを追加で更新した場合は、お手数ですが再度保存し直してください。
16,loadData,保存したデータの読み込み,,確認キーの入力,確認キーを入力してください。
